,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
129,9,1,1,0,0,0,0,0,0,0,0
130,31,1,0,0,1,0,0,0,1,0,0
131,19,4,1,0,0,2,0,0,1,0,0
132,59,3,1,0,0,2,0,0,0,0,0
133,22,3,0,0,1,0,1,0,0,1,0
134,1,1,0,0,0,0,0,0,2,0,0
135,7,1,1,0,0,0,1,0,0,0,0
136,6,1,0,0,1,0,0,0,0,0,0
137,474,2,1,0,0,0,0,0,1,0,0
138,3,3,1,0,0,1,0,0,1,0,0
139,262,8,0,0,2,14,0,0,2,0,0
140,4,3,0,0,1,2,0,0,0,0,0
141,2,1,1,0,0,0,0,0,0,0,0
142,8,2,0,0,1,0,1,0,0,0,0
143,4,1,0,0,1,0,0,0,0,0,0
144,31,3,1,0,0,1,0,0,1,0,0
145,167,5,1,1,0,2,0,0,1,0,0
146,3,1,1,0,0,0,0,0,0,0,0
147,9,3,1,0,0,2,0,0,0,0,0
148,2746,10,0,0,0,0,0,0,1,9,0
149,1,1,0,0,2,0,0,0,0,0,0
150,5,1,1,0,0,0,0,0,0,0,0
151,6,1,0,0,0,0,1,0,0,0,0
152,36,2,1,0,0,0,1,1,0,0,0
153,58,4,1,0,0,2,0,0,1,0,0
154,1,1,0,0,1,0,0,0,0,0,0
155,1,1,0,0,1,0,0,0,0,0,0
156,6,5,0,0,1,3,0,0,1,0,0
157,1,1,0,0,1,0,0,0,0,0,0
158,6,2,0,0,1,0,0,0,1,0,0
159,166,1,0,0,0,0,0,0,1,0,0
160,2,1,0,0,1,0,0,0,0,0,0
161,72,5,1,1,0,3,0,0,0,0,0
162,1,1,1,0,0,0,0,0,0,0,0
163,23,1,1,0,0,0,1,0,0,0,1
164,534,6,1,0,0,4,0,0,1,0,0
165,2,1,1,0,0,0,0,0,0,0,0
166,6,4,0,0,1,0,1,0,0,2,0
167,2,1,0,0,1,0,0,0,0,0,0
168,9,3,1,0,0,1,0,0,1,0,0
169,946,93,0,0,0,0,1,3,0,89,0
170,1,1,0,0,0,0,0,0,1,0,0
171,1,1,0,0,0,0,1,0,0,0,0
172,26,8,1,2,0,5,0,0,0,0,0
173,1,1,0,0,1,0,0,0,0,0,0
174,9,2,1,0,0,1,1,0,0,0,0
175,39,5,1,2,0,2,0,0,0,0,0
176,134,6,1,2,0,2,0,0,1,0,0
177,1,1,0,0,1,0,0,0,0,0,0
178,1,1,0,0,0,0,0,0,1,0,0
179,1089,3,0,0,1,2,0,0,1,0,0
180,3,2,1,0,0,0,0,0,1,0,0
181,3,1,0,0,0,0,0,0,1,0,0
182,30,11,0,1,1,9,0,0,1,0,0
183,2,1,0,0,0,0,0,0,1,0,0
184,2,1,0,0,0,0,0,0,1,0,0
185,27,2,1,0,0,0,0,0,1,0,0
186,878,5,0,0,1,4,0,0,1,0,0
187,1,1,1,0,0,0,0,0,0,0,0
188,12,1,1,0,0,0,0,0,0,0,0
189,9,1,0,0,0,0,1,0,0,0,0
190,5,1,0,0,0,0,0,0,1,0,0
191,376,9,1,0,0,7,0,0,1,0,0
192,13,1,0,0,0,0,1,0,0,0,0
193,24,4,1,1,0,2,0,0,0,0,0
194,704,16,0,0,1,0,1,1,0,13,0
195,1,1,0,0,1,0,0,0,0,0,0
196,13,3,0,0,1,1,0,0,1,0,0
197,4,3,1,0,0,1,0,0,1,0,0
198,17,2,0,0,1,1,0,0,0,0,0
199,11,2,0,0,1,0,1,0,0,0,1
200,1,1,0,0,1,0,0,0,0,0,0
