,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
4917,63,15,0,2,1,12,0,0,1,0,1
4918,1899,19,1,0,0,1,1,0,0,17,1
4919,102,11,1,0,0,0,0,0,1,9,1
4920,28,2,1,0,0,0,1,0,0,0,1
4921,1689,16,1,1,0,14,0,0,1,0,1
4922,266,2,1,0,0,0,1,0,0,1,1
4923,445,1,1,0,0,0,1,0,0,0,1
4924,395,3,0,0,1,0,1,1,0,1,1
4925,61,8,1,0,0,0,1,1,0,5,1
4926,57,9,1,0,0,0,1,2,0,5,1
4927,9,1,1,0,0,0,1,0,0,0,1
4928,244,6,1,1,0,3,0,0,1,1,1
4929,425,6,1,1,0,0,1,1,0,4,1
4930,104,2,1,0,0,1,1,0,0,0,1
4931,14,4,0,0,1,0,1,0,0,2,1
4932,9,4,0,0,1,0,0,0,1,2,1
4933,12,1,1,0,0,0,1,0,0,0,1
4934,2,3,0,0,1,0,0,0,1,1,1
4935,85,3,1,0,0,0,0,1,1,1,1
4936,1210,101,1,6,0,93,0,0,1,0,1
4937,41,11,0,0,1,0,0,1,1,8,1
4938,54,4,0,0,1,0,1,0,0,2,1
4939,717,61,0,0,1,1,0,0,1,58,1
4940,247,14,1,1,0,12,1,0,0,0,1
4941,11,3,0,0,1,1,0,0,1,0,1
4942,38,52,1,7,0,43,0,0,1,0,1
4943,44,3,0,0,1,0,0,1,1,0,1
4944,42,5,1,2,0,0,0,3,1,1,1
4945,3,2,1,0,0,0,0,0,1,0,1
4946,193,2,1,0,0,1,0,0,1,0,1
4947,14,1,1,0,0,0,1,0,0,0,1
4948,67,36,1,0,0,0,0,8,1,26,1
4949,90,8,0,0,1,0,1,0,0,6,1
4950,105,5,1,0,0,3,1,0,0,1,1
4951,37,3,0,0,1,1,1,0,0,0,1
4952,2,3,0,0,1,0,0,0,1,1,1
4953,30,6,1,1,0,0,1,2,0,2,1
4954,37,57,1,21,0,34,0,0,1,0,1
4955,545,71,0,0,1,1,1,0,0,68,1
4956,64,36,0,0,1,0,0,1,1,33,1
4957,352,2,1,0,0,0,1,0,0,0,1
4958,316,2,1,0,0,0,1,1,0,0,1
4959,1,2,0,0,1,0,0,0,1,0,1
4960,4213,19,0,0,1,0,0,0,1,17,1
4961,614,11,1,0,0,0,1,2,0,8,1
4962,100,2,1,0,0,0,0,0,1,0,1
4963,71,1,1,0,0,0,1,0,0,0,1
4964,1005,2,0,0,1,0,0,0,1,1,1
4965,8453,28,0,2,1,21,0,0,1,6,1
4966,73,4,1,0,0,0,1,0,0,3,1
4967,950,12,0,0,1,0,1,4,0,6,1
4968,23,1,1,0,0,0,1,0,0,0,1
4969,1003,16,0,0,1,0,1,5,0,9,1
4970,37,8,0,0,1,0,0,0,1,6,1
4971,2,2,0,0,1,0,0,0,1,0,1
4972,69,1,1,0,0,0,1,0,0,0,1
4973,17,3,0,0,1,2,0,0,1,0,1
4974,221,2,1,0,0,1,0,0,1,0,1
4975,1,1,1,0,0,0,1,0,0,0,1
4976,63,2,0,0,1,0,1,0,0,0,1
4977,64,2,1,0,0,0,0,0,1,0,1
4978,156,2,1,0,0,0,1,0,0,0,1
4979,34,38,1,13,0,23,1,0,0,0,1
4980,4,1,0,0,1,0,0,0,1,0,1
4981,178,2,1,0,0,1,1,0,0,0,1
4982,398,6,0,0,1,0,1,2,0,2,1
4983,72,2,1,0,0,0,1,0,0,0,1
4984,11,7,0,0,1,6,0,0,1,0,1
4985,18,3,1,0,0,0,1,0,0,1,1
4986,29,3,1,0,0,1,0,0,1,0,1
4987,684,5,0,0,1,0,0,1,1,3,1
4988,258,9,0,0,1,0,1,1,0,6,1
4989,75,1,1,0,0,0,1,0,0,0,1
4990,42,2,1,0,0,0,1,0,0,0,1
4991,236,1,0,0,1,0,0,0,1,0,1
4992,2096,53,1,4,0,48,0,0,1,0,1
4993,146,8,1,0,0,6,0,1,1,1,1
4994,176,9,0,2,1,5,0,0,1,0,1
4995,2428,31,0,0,1,0,1,2,0,27,1
4996,2103,28,1,4,0,21,0,0,1,2,1
4997,892,8,0,1,1,5,0,0,1,0,1
4998,76,5,0,1,1,2,0,0,1,0,1
4999,35,2,0,0,1,0,0,0,1,0,1
5000,187,9,0,0,1,1,1,2,0,4,1
5001,4,5,0,1,1,3,0,0,1,0,1
5002,11,1,1,0,0,0,1,0,0,0,1
5003,18,2,1,0,0,0,1,0,0,0,1
5004,51,1,1,0,0,0,1,0,0,0,1
5005,34,2,1,0,0,0,1,1,0,0,1
5006,940,4,1,0,0,0,1,2,0,1,1
5007,360,17,0,3,1,12,0,0,1,0,1
5008,192,3,0,1,1,1,0,0,1,1,1
5009,16,9,0,0,1,0,0,0,1,7,1
5010,399,4,0,0,2,2,0,0,2,6,1
5011,36,35,1,0,0,0,1,6,0,28,1
5012,90,2,1,0,0,0,1,0,0,0,1
5013,324,2,1,0,0,0,1,0,0,0,1
5014,88,6,0,1,1,2,0,2,1,2,1
5015,9379,29,0,0,1,0,0,2,1,25,1
5016,19,2,0,1,1,0,1,0,0,0,1
5017,456,8,0,0,1,0,0,1,1,5,1
5018,417,6,0,0,2,4,0,0,2,8,1
5019,46,4,0,0,1,0,1,0,0,3,1
5020,93,2,0,0,1,0,1,0,0,0,1
5021,118,3,1,0,0,0,1,1,0,1,1
5022,529,6,0,0,1,0,1,0,0,5,1
5023,200,2,1,0,0,1,1,0,0,0,1
5024,81,5,1,0,0,3,0,0,1,0,1
5025,87,1,1,0,0,0,1,0,0,0,1
5026,21,13,0,0,1,0,0,0,1,11,1
5027,51,9,0,0,1,0,1,2,0,5,1
5028,9064,14,0,0,1,1,1,5,0,6,1
5029,4,1,0,0,1,0,0,0,1,0,1
5030,6,2,0,0,1,0,1,0,0,0,1
5031,1826,286,0,0,1,0,1,25,0,259,1
5032,219,4,0,2,1,1,1,0,0,0,1
5033,25,3,1,0,0,2,0,0,1,0,1
5034,142,3,1,0,0,1,0,0,1,0,1
5035,3,2,0,0,1,0,0,0,1,0,1
5036,398,9,1,1,0,1,1,3,0,4,1
5037,19,2,0,1,1,0,1,0,0,0,1
5038,440,9,0,0,1,0,1,0,0,7,1
5039,151,5,1,0,0,4,1,0,0,0,1
5040,14,2,0,0,1,0,1,0,0,0,1
5041,288,4,1,0,0,0,0,0,1,2,1
5042,265,7,1,2,0,2,1,2,0,1,1
5043,1161,17,1,0,0,0,1,1,0,15,1
5044,23,19,1,4,0,13,1,0,0,0,1
5045,5788,168,0,0,1,0,1,3,0,163,1
5046,18,6,1,0,0,5,0,0,1,0,1
5047,119,3,0,0,1,0,1,0,0,1,1
5048,40,3,1,1,0,0,1,0,0,0,1
5049,74,2,0,0,1,0,1,0,0,0,1
5050,42,5,0,0,1,0,1,0,0,3,1
5051,551,5,0,1,1,3,0,0,1,0,1
5052,72,2,1,0,0,0,0,0,1,0,1
5053,11,2,1,0,0,0,0,0,1,0,1
5054,5937,120,0,0,1,0,0,5,1,113,1
5055,4113,8,1,0,0,7,0,0,1,1,1
5056,181,33,0,0,1,0,0,1,1,30,1
5057,68,2,1,0,0,0,0,0,1,0,1
5058,36,2,1,0,0,0,0,1,1,0,1
5059,28,9,0,0,1,0,1,1,0,6,1
5060,1,1,0,0,1,0,0,0,1,0,1
5061,899,22,1,0,0,20,0,0,1,0,1
5062,180,6,0,0,1,0,1,0,0,5,1
5063,36,6,1,1,0,1,0,0,1,2,1
5064,81,12,0,1,1,10,1,0,0,1,1
5065,61,2,1,0,0,0,0,0,1,0,1
5066,26,1,1,0,0,0,1,0,0,0,1
5067,21,1,1,0,0,0,1,0,0,0,1
5068,22,2,1,0,0,0,0,0,1,0,1
5069,338,7,1,0,0,0,1,2,0,3,1
5070,196,4,1,0,0,0,1,3,0,0,1
5071,1296,3,0,0,1,0,1,0,0,1,1
5072,108,12,1,0,0,1,1,0,0,10,1
5073,126,4,1,0,0,0,1,0,0,3,1
5074,50,8,0,0,1,0,1,1,0,5,1
5075,1055,3,1,0,0,1,1,0,0,0,1
5076,11,2,1,0,0,0,0,0,1,0,1
5077,147,7,1,2,0,4,1,0,0,0,1
5078,90,6,0,0,1,0,0,1,1,3,1
5079,1466,13,0,0,1,0,1,0,0,12,1
5080,684,9,0,0,1,0,1,3,0,4,1
5081,297,6,1,1,0,4,1,0,0,0,1
5082,212,2,1,0,0,1,1,0,0,0,1
5083,18,1,0,0,1,0,0,0,1,0,1
5084,41,1,0,0,1,0,0,0,1,0,1
5085,218,11,0,0,1,0,1,0,0,9,1
5086,61,2,1,0,0,0,0,0,1,0,1
5087,4771,56,1,0,0,2,1,3,0,51,1
5088,77,2,1,0,0,0,0,0,1,0,1
5089,156,2,0,1,1,0,0,0,1,0,1
5090,196,14,0,0,1,0,0,1,1,11,1
5091,92,5,1,0,0,0,1,2,0,2,1
5092,1937,46,0,1,1,1,1,1,0,42,1
5093,1382,159,1,9,0,148,0,0,1,0,1
5094,607,4,0,0,1,0,1,1,0,1,1
5095,1,2,1,0,0,0,0,0,1,0,1
5096,54,2,1,0,0,0,1,1,0,0,1
5097,214,4,0,0,1,0,0,0,1,2,1
5098,6,5,0,0,1,4,0,0,1,0,1
5099,51,1,1,0,0,0,1,0,0,0,1
5100,45,5,1,0,0,1,1,1,0,2,1
5101,33,6,1,0,0,0,1,1,0,3,1
5102,1076,13,1,4,0,8,0,0,1,0,1
5103,1275,10,1,2,0,3,0,1,1,5,1
5104,3,2,0,0,1,0,1,0,0,0,1
5105,28,1,1,0,0,0,1,0,0,0,1
5106,393,20,1,0,0,0,1,4,0,14,1
5107,486,1,1,0,0,0,1,0,0,0,1
5108,127,5,0,0,2,0,0,0,2,6,1
5109,386,9,1,1,0,7,0,0,1,0,1
5110,9,2,1,0,0,0,1,0,0,1,1
5111,92,2,1,0,0,1,1,0,0,0,1
5112,574,1,0,0,1,0,0,0,1,0,1
5113,4,2,1,0,0,0,0,0,1,0,1
5114,121,3,1,0,0,0,1,2,0,0,1
5115,5,4,0,0,1,0,0,1,1,1,1
5116,6,2,1,0,0,0,1,0,0,0,1
5117,44,1,1,0,0,0,1,0,0,0,1
5118,19,2,1,0,0,1,1,0,0,0,1
5119,2518,16,0,0,1,10,0,0,1,8,1
5120,4,1,0,0,1,0,0,0,1,0,1
5121,128,1,1,0,0,0,1,0,0,0,1
5122,139,3,1,0,0,2,0,0,1,0,1
5123,16,2,1,0,0,0,0,0,1,0,1
5124,1593,56,1,3,0,51,0,0,1,0,1
5125,159,3,0,0,1,0,0,0,1,1,1
5126,2348,203,1,0,0,0,1,16,0,186,1
5127,146,5,1,2,0,2,1,0,0,0,1
5128,2203,194,1,0,0,0,1,16,0,177,1
