Index,Classifier,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC
GRU,MLP,Adasyn,1,0.73,0.13,0.81,0.23,0.84
GRU,MLP,Rose,0,0.91,0.96,0.94,0.95,0.79
GRU,MLP,Rose,1,0.91,0.22,0.33,0.27,0.79
GRU,Sequential,Under,0,0.77,0.99,0.77,0.86,0.85
GRU,Sequential,Under,1,0.77,0.15,0.78,0.25,0.85
GRU,Sequential,Over,0,0.74,0.99,0.73,0.84,0.88
GRU,Sequential,Over,1,0.74,0.14,0.85,0.25,0.88
GRU,Sequential,Both,0,0.84,0.98,0.85,0.91,0.87
GRU,Sequential,Both,1,0.84,0.20,0.68,0.30,0.87
GRU,Sequential,Smote,0,0.76,0.98,0.76,0.86,0.84
GRU,Sequential,Smote,1,0.76,0.15,0.77,0.25,0.84
GRU,Sequential,BorderlineSmote,0,0.76,0.98,0.75,0.85,0.84
GRU,Sequential,BorderlineSmote,1,0.76,0.14,0.77,0.24,0.84
GRU,Sequential,SVMSmote,0,0.85,0.97,0.86,0.91,0.81
GRU,Sequential,SVMSmote,1,0.85,0.18,0.57,0.27,0.81
GRU,Sequential,Adasyn,0,0.76,0.98,0.76,0.86,0.84
GRU,Sequential,Adasyn,1,0.76,0.15,0.77,0.24,0.84
GRU,Sequential,Rose,0,0.92,0.96,0.95,0.96,0.76
GRU,Sequential,Rose,1,0.92,0.26,0.31,0.28,0.76
