,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
129,843,43,1,3,0,39,1,0,0,0,0
130,3,1,0,0,1,0,0,0,0,0,0
131,41,9,0,0,2,14,0,0,2,0,0
132,5,1,0,0,0,0,0,0,1,0,0
133,9,1,0,0,1,0,0,0,0,0,0
134,1,1,0,0,0,0,0,0,1,0,0
135,104,2,0,0,2,0,0,0,2,0,0
136,15,1,1,0,0,0,0,0,0,0,0
137,34,7,0,1,1,1,0,3,1,2,0
138,1,1,0,0,0,0,0,0,1,0,0
139,3,1,0,0,1,0,0,0,0,0,0
140,13,3,0,0,0,0,0,1,1,1,0
141,1,1,0,0,1,0,0,0,0,0,0
142,2,1,0,0,1,0,0,0,0,0,0
143,686,5,1,1,0,3,0,0,0,0,0
144,12,1,1,0,0,0,0,0,0,0,0
145,2,1,0,0,2,0,0,0,2,0,0
146,3,2,0,0,0,0,1,0,0,1,0
147,1,1,1,0,0,0,0,0,0,0,0
148,6,3,0,0,2,2,0,0,2,0,0
149,76,2,0,0,1,0,1,0,0,0,0
150,1,1,0,0,1,0,0,0,0,0,0
151,242,12,0,0,0,0,1,1,0,10,0
152,3,1,1,0,0,0,0,0,0,0,0
153,2,1,0,0,2,0,0,0,0,0,0
154,61,1,1,0,0,0,0,0,0,0,0
155,5,1,0,0,1,0,0,0,0,0,0
156,1,1,0,0,0,0,0,0,1,0,0
157,108,3,1,0,0,1,0,0,1,0,0
158,2,1,0,0,0,0,0,0,1,0,0
159,6,1,1,0,0,0,0,0,0,0,0
160,191,5,1,1,0,2,0,0,1,0,0
161,1,1,0,0,1,0,0,0,0,0,0
162,3,1,0,0,0,0,1,0,0,0,0
163,3,1,0,0,0,0,0,0,1,0,0
164,11,5,0,1,1,3,0,0,0,0,0
165,1,1,0,0,1,0,0,0,0,0,0
166,3,1,0,0,0,0,0,0,1,0,0
167,2,1,0,0,1,0,0,0,0,0,0
168,1,1,0,0,1,0,0,0,0,0,0
169,941,2,0,0,1,0,0,0,1,0,0
170,3,1,1,0,0,0,0,0,0,0,0
171,589,2,1,0,0,1,0,0,1,0,0
172,2,2,0,0,2,0,0,0,2,0,0
173,2,1,0,0,1,0,0,0,1,0,0
174,9,1,0,0,1,0,0,0,1,0,0
175,38,1,0,0,0,0,0,0,1,0,0
176,17,3,1,0,0,1,0,0,1,0,0
177,35,1,1,0,0,0,0,0,0,0,0
178,1,1,0,0,1,0,0,0,0,0,0
179,2,2,0,0,2,0,0,0,2,0,0
180,5,1,0,0,1,0,0,0,0,0,0
181,1670,1,0,0,1,0,0,0,1,0,0
182,1,1,1,0,0,0,0,0,0,0,0
183,5,3,0,1,1,1,0,0,1,0,0
184,10,4,0,0,2,4,0,0,2,0,0
185,32,8,0,2,1,4,0,0,1,0,0
186,37,2,1,0,0,0,1,0,0,0,0
187,26,2,0,0,1,0,0,0,1,0,0
188,92,2,0,0,2,0,0,0,2,0,0
189,43,1,0,0,1,0,0,0,0,0,0
190,21,8,0,0,0,0,0,2,1,5,0
191,140,3,1,0,0,2,0,0,0,0,0
192,4,2,1,0,0,0,1,0,0,0,0
193,153,5,1,1,0,2,0,0,1,0,0
194,2,1,0,0,1,0,0,0,0,0,0
195,17,3,0,0,0,0,1,0,0,2,0
196,1,1,0,0,0,0,1,0,0,0,0
197,179,8,0,3,1,3,1,0,0,0,0
198,21,2,1,0,0,0,0,0,1,0,0
199,2,1,0,0,1,0,0,0,0,0,0
200,3,1,1,0,0,0,0,0,0,0,0
201,10,1,1,0,0,0,0,0,0,0,0
202,4,1,1,0,0,0,1,0,0,0,0
203,138,4,0,1,1,2,1,0,0,0,0
204,17,2,0,0,0,0,0,0,1,1,0
205,17,3,0,0,1,1,0,0,1,0,0
206,11,1,1,0,0,0,0,0,0,0,0
207,6,1,1,0,0,0,0,0,0,0,0
208,15,1,0,0,0,0,0,0,1,0,0
209,2,1,0,0,1,0,0,0,0,0,0
210,10,1,2,0,0,0,2,0,0,0,0
211,10,3,0,1,1,1,0,0,0,0,0
212,7,2,1,0,0,0,1,0,0,0,0
213,7,1,1,0,0,0,1,0,0,0,0
214,2,1,0,0,1,0,0,0,1,0,0
215,1,1,0,0,1,0,0,0,0,0,0
216,2,2,0,0,1,0,0,0,1,0,0
217,8,3,0,0,1,0,1,0,0,1,0
218,6,1,0,0,1,0,0,0,0,0,0
219,13,1,1,0,0,0,0,0,0,0,0
220,794,1,1,0,0,0,1,0,0,0,0
221,2,2,0,0,1,0,0,0,1,0,0
222,2,2,1,0,0,0,0,0,1,0,0
223,124,7,0,0,0,0,0,3,1,3,0
224,24,1,1,0,0,0,1,0,0,0,0
225,12,1,1,0,0,0,0,0,0,0,0
226,2,1,0,0,0,0,1,0,0,0,0
227,28,2,1,0,0,1,0,0,0,0,0
228,29,1,0,0,0,0,1,0,0,0,0
229,7,2,0,1,1,0,1,0,0,0,0
230,1,1,0,0,1,0,0,0,0,0,0
231,1,1,0,0,1,0,0,0,0,0,0
232,1,1,0,0,0,0,1,0,0,0,0
233,25,1,1,0,0,0,1,0,0,0,0
234,1,1,0,0,1,0,0,0,0,0,0
235,253,7,1,2,0,4,0,0,0,0,0
236,36,1,1,0,0,0,0,0,0,0,0
237,1,1,0,0,1,0,0,0,0,0,0
238,58,1,0,0,1,0,0,0,1,0,0
239,88,1,0,0,0,0,1,0,0,0,0
240,23,1,1,0,0,0,0,0,0,0,0
241,59,6,1,2,0,2,0,0,1,0,0
242,20,1,0,0,0,0,1,0,0,0,0
243,1,1,0,0,0,0,1,0,0,0,0
244,2,2,0,0,1,0,0,0,1,0,0
245,2,1,0,0,1,0,0,0,0,0,0
246,1,1,0,0,1,0,0,0,0,0,0
247,1,1,1,0,0,0,0,0,0,0,0
248,1,1,0,0,1,0,0,0,0,0,0
249,78,6,1,3,0,1,0,0,1,0,0
250,16,3,0,0,1,2,0,0,0,0,0
251,371,2,1,0,0,0,0,0,1,0,0
252,2,2,1,0,0,0,0,0,1,0,0
253,1,1,0,0,1,0,0,0,0,0,0
254,12,1,0,0,1,0,0,0,0,0,0
255,21,1,0,0,1,0,0,0,0,0,0
256,107,2,0,0,0,0,1,0,0,1,0
257,24,3,0,0,1,1,0,0,1,0,0
258,2,1,1,0,0,0,0,0,0,0,0
259,1,1,0,0,1,0,0,0,0,0,0
260,3,1,0,0,0,0,0,0,1,0,0
261,2,1,0,0,1,0,0,0,0,0,0
262,3,2,0,0,1,0,0,0,1,0,0
263,403,1,1,0,0,0,1,0,0,0,0
264,14,3,1,0,0,0,0,0,1,1,0
265,106,5,0,1,1,2,1,0,0,1,0
266,966,21,0,0,1,0,1,3,0,16,0
267,3,1,0,0,1,0,0,0,0,0,0
268,1,1,1,0,0,0,0,0,0,0,0
269,1,1,0,0,1,0,0,0,0,0,0
270,126,5,1,0,0,3,0,0,1,0,0
271,49,1,0,0,1,0,0,0,0,0,0
272,7,2,0,0,1,0,0,0,1,0,0
273,2,1,0,0,1,0,0,0,1,0,0
274,6,2,0,0,0,0,0,0,1,1,0
275,12,1,0,0,0,0,1,0,0,0,0
276,10,2,1,0,0,0,0,0,1,0,0
277,2,1,0,0,0,0,0,0,2,0,0
278,5406,46,1,0,0,44,0,0,1,0,0
279,2,2,1,0,0,0,0,0,1,0,0
280,1,1,0,0,0,0,1,0,0,0,0
281,82,2,0,0,1,0,1,0,0,0,0
282,1,1,0,0,1,0,0,0,0,0,0
283,7147,20,1,0,0,0,0,0,1,18,0
284,1,1,0,0,1,0,0,0,0,0,0
285,76,1,0,0,1,0,0,0,1,0,0
286,59,3,0,0,0,0,1,0,0,2,0
287,58,6,1,1,0,3,0,0,1,0,0
288,50,3,1,0,0,2,0,0,0,0,0
289,1,1,0,0,1,0,0,0,0,0,0
290,503,12,0,1,1,10,1,0,0,0,0
291,1,1,1,0,0,0,0,0,0,0,0
292,27,3,1,0,0,0,0,0,1,1,0
293,127,17,0,0,2,30,0,0,2,0,0
294,359,6,1,1,0,3,0,0,1,0,0
295,1,1,1,0,0,0,0,0,0,0,0
296,15,1,0,0,0,0,0,0,1,0,0
297,124,1,1,0,0,0,0,0,0,0,0
298,69,11,0,1,1,8,0,0,1,0,0
299,96,1,1,0,0,0,0,0,0,0,0
300,1,1,1,0,0,0,0,0,0,0,0
301,6,1,1,0,0,0,0,0,0,0,0
302,625,8,0,0,0,0,1,3,0,4,0
303,17,1,1,0,0,0,1,0,0,0,0
304,35,2,1,1,0,0,0,0,0,0,0
305,215,7,0,0,2,12,0,0,2,0,0
306,21,2,1,0,0,0,0,0,1,0,0
307,45,3,0,1,1,1,1,0,0,0,0
308,18,2,1,0,0,0,0,0,1,0,0
309,8,2,0,0,1,0,1,0,0,0,0
310,19,3,0,0,1,1,0,0,1,0,0
311,1,1,1,0,0,0,0,0,0,0,0
312,5,1,0,0,0,0,1,0,0,0,0
313,487,1,0,0,0,0,0,0,1,0,0
314,1,1,0,0,0,0,0,0,1,0,0
315,1,1,0,0,1,0,0,0,0,0,0
316,209,15,1,2,0,11,0,0,1,0,0
317,4,1,0,0,0,0,1,0,0,0,0
318,41,2,0,0,1,0,0,0,1,1,0
319,63,1,0,0,0,0,1,0,0,0,0
320,14,2,0,0,1,0,0,0,1,0,0
321,237,2,1,0,0,0,0,0,1,0,0
322,92,3,1,1,0,0,0,0,1,0,0
323,22,4,1,0,0,2,0,0,1,0,0
324,61,3,1,0,0,0,1,0,0,1,0
325,62,7,1,2,0,3,1,0,0,1,0
